	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4	G5	BN	ST
1305449_00	1305449	5397.0	0.36724105984806377	0.45271813613522155	0.6232704402515723	G4	1019	1314	1982	0	1082	0
1304700_00	1304700	872.0	0.6502293577981652	0.7204574332909784	0.8375184638109306	G3	85	567	35	0	185	0
1304706_00	1304706	1047.0	0.5959885386819485	0.6872246696035242	0.814621409921671	G3	139	624	91	0	193	0
1305445_00	1305445	1729.0	0.6570271833429728	0.6956521739130435	0.8205128205128205	G4	96	183	1136	0	314	0
1305488_00	1305488	583.0	0.5643224699828473	0.5771929824561404	0.731924360400445	G4	13	169	329	0	72	0
1304704_00	1304704	1036.0	0.7615830115830116	0.8594771241830066	0.9244288224956063	G3	118	789	103	0	26	0
1305451_00	1305451	767.0	0.42894393741851367	0.4660056657223796	0.6357487922705314	G4	61	340	329	0	37	0
1305489_00	1305489	754.0	0.43103448275862066	0.49242424242424243	0.6598984771573604	G4	94	57	325	0	278	0
1305489_01	1305489	1816.0	0.573237885462555	0.6916943521594684	0.8177533385703064	G4	311	88	1041	0	376	0
1305489_02	1305489	693.0	0.5815295815295816	0.775	0.8732394366197184	G4	173	28	403	0	89	0
1305496_00	1305496	2863.0	0.2920013971358715	0.35772357723577236	0.5269461077844312	G4	526	1180	836	0	321	0
1305461_00	1305461	1332.0	0.1539039039039039	0.2093973442288049	0.3462837837837838	G4	353	641	205	0	133	0
1305475_00	1305475	9171.0	0.5217533529604187	0.7409414679467328	0.8511962999199502	G4	2713	757	4785	0	916	0
1304702_00	1304702	529.0	0.6994328922495274	0.7566462167689162	0.861466821885914	G3	40	370	32	0	87	0
1305487_00	1305487	726.0	0.2644628099173554	0.3742690058479532	0.5446808510638298	G4	213	57	192	0	264	0
1305487_01	1305487	2245.0	0.2182628062360802	0.3113087674714104	0.4748062015503876	G4	671	730	490	0	354	0
1305474_00	1305474	4808.0	0.6383111480865225	0.8816432059752944	0.9370992366412213	G4	1327	65	3069	0	347	0
1305444_00	1305444	702.0	0.6780626780626781	0.7104477611940299	0.8307155322862129	G4	32	85	476	0	109	0
1305444_01	1305444	743.0	0.6244952893674294	0.6572237960339944	0.7931623931623932	G4	37	89	464	0	153	0
1304709_00	1304709	2294.0	0.6508282476024412	0.6970121381886087	0.8214580467675378	G3	152	1493	257	0	392	0
1305483_00	1305483	879.0	0.22525597269624573	0.2964071856287425	0.4572748267898384	G4	211	215	198	0	255	0
1305485_00	1305485	2970.0	0.4478114478114478	0.7315731573157316	0.8449809402795426	G4	1152	233	1330	0	255	0
1305472_00	1305472	1693.0	0.284111045481394	0.3396892655367232	0.5071164997364259	G4	277	847	481	0	88	0
1305456_00	1305456	5269.0	0.2789903207439742	0.2984165651644336	0.45966228893058164	G4	343	702	1470	0	2754	0
1305497_00	1305497	2956.0	0.4506089309878214	0.6259398496240601	0.7699421965317919	G4	828	258	1332	0	538	0
1305480_00	1305480	3872.0	0.5480371900826446	0.6702463676563487	0.8025718608169441	G4	706	243	2122	0	801	0
1304716_00	1304716	1343.0	0.4758004467609829	0.5272277227722773	0.6904376012965965	G3	131	639	58	0	515	0
1305498_00	1305498	3939.0	0.526021832952526	0.6818032247449819	0.8108002347877128	G4	900	416	2072	0	551	0
1305491_00	1305491	1963.0	0.45695364238410596	0.47335092348284963	0.6425501432664756	G4	68	529	897	0	469	0
1304726_00	1304726	3233.0	0.5700587689452521	0.6841128433556051	0.8124311218867094	G3	539	1843	121	0	730	0
1305450_00	1305450	3762.0	0.2658160552897395	0.2975304968759298	0.4586104104563174	G4	401	1747	1000	0	614	0
1304730_00	1304730	1582.0	0.5935524652338812	0.6383412644459552	0.7792531120331949	G3	111	939	334	0	198	0
1304728_00	1304728	508.0	0.5393700787401575	0.6088888888888889	0.7569060773480663	G3	58	274	99	0	77	0
1305477_00	1305477	503.0	0.2544731610337972	0.39143730886850153	0.5626373626373626	G4	176	115	128	0	84	0
1305477_01	1305477	684.0	0.14181286549707603	0.16987740805604204	0.2904191616766467	G4	113	255	97	0	219	0
1305479_00	1305479	4811.0	0.38037829972978593	0.42351307567692664	0.5950251991546089	G4	490	953	1830	0	1538	0
1304705_00	1304705	742.0	0.6684636118598383	0.8104575163398693	0.8953068592057761	G3	130	496	76	0	40	0
1305460_00	1305460	6325.0	0.40205533596837945	0.46035481535119477	0.6304698152968886	G4	801	1727	2543	0	1254	0
1305455_00	1305455	1490.0	0.47651006711409394	0.5118961788031723	0.6771578445398188	G4	103	360	710	0	317	0
1305473_00	1305473	4061.0	0.20118197488303374	0.2312482309651854	0.37563218390804604	G4	528	2478	817	0	238	0
1304723_00	1304723	629.0	0.42130365659777425	0.5038022813688213	0.6700379266750948	G3	103	265	32	0	229	0
1305484_00	1305484	3781.0	0.41840782861676806	0.5566502463054187	0.7151898734177216	G4	939	923	1582	0	337	0
1305454_00	1305454	4498.0	0.1036016007114273	0.1152324431256182	0.2066518847006652	G4	454	2046	466	0	1532	0
1305457_00	1305457	1937.0	0.10325245224574084	0.12292562999385372	0.2189381499726327	G4	310	368	200	0	1059	0
1305493_00	1305493	4415.0	0.28969422423556057	0.3736488460414841	0.5440238196512122	G4	992	1475	1279	0	669	0
1304721_00	1304721	759.0	0.6772068511198946	0.727015558698727	0.8419328419328419	G3	52	514	56	0	137	0
1305446_00	1305446	2975.0	0.5203361344537815	0.5516749821810406	0.7110702802021129	G4	169	181	1548	0	1077	0
1304727_00	1304727	2384.0	0.49538590604026844	0.5382862351868732	0.6998518518518517	G3	190	1181	78	0	935	0
1305494_00	1305494	6835.0	0.3381126554498903	0.4034567039106145	0.5749471327279512	G4	1107	2936	2311	0	481	0
1304720_00	1304720	1376.0	0.4585755813953488	0.5649059982094897	0.7219679633867278	G3	259	631	76	0	410	0
1305495_00	1305495	3529.0	0.5041088126948144	0.6756551462210406	0.8064369900271986	G4	896	519	1779	0	335	0
1305453_00	1305453	2415.0	0.058385093167701865	0.08779576587795766	0.1614195764167144	G4	809	1089	141	0	376	0
1304717_00	1304717	1384.0	0.6134393063583815	0.66328125	0.7975575387505872	G3	104	849	172	0	257	0
1304711_00	1304711	2022.0	0.49159248269040556	0.6132017273288094	0.7602294455066922	G3	401	994	364	0	263	0
1305448_00	1305448	6221.0	0.44414081337405564	0.5265866209262435	0.6898876404494382	G4	974	1405	2763	0	1079	0
1305447_00	1305447	2729.0	0.32099670208867714	0.3764503652771809	0.5469871995004683	G4	402	1151	876	0	300	0
1305481_00	1305481	4374.0	0.4117512574302698	0.48966829798803696	0.6574192370870597	G4	696	322	1801	0	1555	0
1305458_00	1305458	6224.0	0.3361182519280206	0.4958520976534724	0.6629694184756774	G4	2005	542	2092	0	1585	0
1305459_00	1305459	5556.0	0.4269258459323254	0.6450911068806092	0.784261861464705	G4	1879	153	2372	0	1152	0
1305482_00	1305482	1826.0	0.4129244249726177	0.6252072968490879	0.7693877551020408	G4	620	224	754	0	228	0
1305478_00	1305478	1987.0	0.34071464519375944	0.47309573724668064	0.642314990512334	G4	556	386	677	0	368	0
1304729_00	1304729	578.0	0.2681660899653979	0.31313131313131315	0.47692307692307695	G3	83	155	136	0	204	0
1304732_00	1304732	2720.0	0.4808823529411765	0.5165876777251185	0.6812499999999999	G3	188	1308	828	0	396	0
